bias,positiveness,negativeness,label
1.0,3393.0,236.0,1.0
1.0,4785.0,698.0,1.0
1.0,2987.0,25.0,1.0
1.0,584.0,65.0,1.0
1.0,841.0,246.0,1.0
1.0,3133.0,61.0,1.0
1.0,640.0,550.0,1.0
1.0,2992.0,47.0,1.0
1.0,3883.0,576.0,1.0
1.0,1245.0,430.0,1.0
1.0,566.0,10.0,1.0
1.0,2969.0,2.0,1.0
1.0,1148.0,479.0,1.0
1.0,3410.0,527.0,1.0
1.0,530.0,5.0,1.0
1.0,3540.0,569.0,1.0
1.0,4073.0,743.0,1.0
1.0,3208.0,144.0,1.0
1.0,5037.0,1757.0,1.0
1.0,3128.0,55.0,1.0
1.0,3028.0,25.0,1.0
1.0,3175.0,111.0,1.0
1.0,660.0,81.0,1.0
1.0,3222.0,105.0,1.0
1.0,3016.0,38.0,1.0
1.0,3170.0,209.0,1.0
1.0,3617.0,654.0,1.0
1.0,3208.0,173.0,1.0
1.0,2989.0,41.0,1.0
1.0,3611.0,344.0,1.0
1.0,3067.0,101.0,1.0
1.0,667.0,256.0,1.0
1.0,3492.0,554.0,1.0
1.0,3110.0,187.0,1.0
1.0,3314.0,138.0,1.0
1.0,3032.0,48.0,1.0
1.0,950.0,168.0,1.0
1.0,3493.0,99.0,1.0
1.0,3567.0,442.0,1.0
1.0,3007.0,43.0,1.0
1.0,962.0,317.0,1.0
1.0,4785.0,698.0,1.0
1.0,3137.0,79.0,1.0
1.0,2979.0,21.0,1.0
1.0,3502.0,546.0,1.0
1.0,2968.0,10.0,1.0
1.0,2963.0,2.0,1.0
1.0,3120.0,158.0,1.0
1.0,3497.0,97.0,1.0
1.0,5999.0,69.0,1.0
1.0,1247.0,207.0,1.0
1.0,2965.0,3.0,1.0
1.0,635.0,45.0,1.0
1.0,3008.0,50.0,1.0
1.0,564.0,12.0,1.0
1.0,3050.0,43.0,1.0
1.0,847.0,150.0,1.0
1.0,728.0,142.0,1.0
1.0,3248.0,224.0,1.0
1.0,3353.0,477.0,1.0
1.0,600.0,26.0,1.0
1.0,2964.0,15.0,1.0
1.0,842.0,292.0,1.0
1.0,3133.0,61.0,1.0
1.0,3769.0,398.0,1.0
1.0,4073.0,743.0,1.0
1.0,2985.0,16.0,1.0
1.0,3440.0,245.0,1.0
1.0,2977.0,14.0,1.0
1.0,2997.0,33.0,1.0
1.0,3019.0,51.0,1.0
1.0,3080.0,221.0,1.0
1.0,3215.0,209.0,1.0
1.0,773.0,131.0,1.0
1.0,3008.0,59.0,1.0
1.0,3335.0,349.0,1.0
1.0,1557.0,930.0,1.0
1.0,2979.0,12.0,1.0
1.0,696.0,56.0,1.0
1.0,3553.0,556.0,1.0
1.0,4785.0,698.0,1.0
1.0,826.0,379.0,1.0
1.0,3128.0,55.0,1.0
1.0,818.0,285.0,1.0
1.0,4073.0,743.0,1.0
1.0,2989.0,16.0,1.0
1.0,2999.0,20.0,1.0
1.0,3005.0,114.0,1.0
1.0,525.0,0.0,1.0
1.0,3494.0,115.0,1.0
1.0,3250.0,220.0,1.0
1.0,3069.0,112.0,1.0
1.0,3178.0,92.0,1.0
1.0,2981.0,93.0,1.0
1.0,734.0,202.0,1.0
1.0,2964.0,4.0,1.0
1.0,2961.0,2.0,1.0
1.0,755.0,231.0,1.0
1.0,599.0,55.0,1.0
1.0,1585.0,26.0,1.0
1.0,3006.0,22.0,1.0
1.0,1656.0,0.0,1.0
1.0,3017.0,11.0,1.0
1.0,2982.0,24.0,1.0
1.0,3185.0,180.0,1.0
1.0,1364.0,790.0,1.0
1.0,3036.0,68.0,1.0
1.0,3663.0,379.0,1.0
1.0,572.0,8.0,1.0
1.0,2975.0,10.0,1.0
1.0,3921.0,459.0,1.0
1.0,3027.0,82.0,1.0
1.0,599.0,90.0,1.0
1.0,1125.0,97.0,1.0
1.0,4073.0,743.0,1.0
1.0,4785.0,698.0,1.0
1.0,644.0,96.0,1.0
1.0,3511.0,164.0,1.0
1.0,570.0,3.0,1.0
1.0,30.0,47.0,1.0
1.0,3012.0,39.0,1.0
1.0,3611.0,363.0,1.0
1.0,3274.0,177.0,1.0
1.0,3051.0,57.0,1.0
1.0,3085.0,47.0,1.0
1.0,3138.0,148.0,1.0
1.0,3625.0,447.0,1.0
1.0,3000.0,33.0,1.0
1.0,3100.0,85.0,1.0
1.0,3005.0,12.0,1.0
1.0,203.0,309.0,1.0
1.0,3179.0,185.0,1.0
1.0,3035.0,43.0,1.0
1.0,4073.0,743.0,1.0
1.0,578.0,10.0,1.0
1.0,3985.0,550.0,1.0
1.0,3361.0,164.0,1.0
1.0,3303.0,171.0,1.0
1.0,917.0,150.0,1.0
1.0,3207.0,225.0,1.0
1.0,828.0,363.0,1.0
1.0,3441.0,268.0,1.0
1.0,3156.0,290.0,1.0
1.0,3068.0,67.0,1.0
1.0,3502.0,490.0,1.0
1.0,1575.0,572.0,1.0
1.0,3267.0,340.0,1.0
1.0,3863.0,434.0,1.0
1.0,3625.0,529.0,1.0
1.0,815.0,157.0,1.0
1.0,4785.0,698.0,1.0
1.0,2974.0,15.0,1.0
1.0,710.0,230.0,1.0
1.0,3138.0,158.0,1.0
1.0,3138.0,186.0,1.0
1.0,829.0,347.0,1.0
1.0,3534.0,162.0,1.0
1.0,3064.0,99.0,1.0
1.0,4073.0,743.0,1.0
1.0,952.0,204.0,1.0
1.0,2981.0,17.0,1.0
1.0,660.0,111.0,1.0
1.0,3471.0,156.0,1.0
1.0,4245.0,715.0,1.0
1.0,3275.0,489.0,1.0
1.0,5937.0,27.0,1.0
1.0,779.0,96.0,1.0
1.0,533.0,508.0,1.0
1.0,625.0,68.0,1.0
1.0,3170.0,173.0,1.0
1.0,3188.0,87.0,1.0
1.0,3201.0,236.0,1.0
1.0,2988.0,2.0,1.0
1.0,2961.0,2.0,1.0
1.0,552.0,0.0,1.0
1.0,3449.0,180.0,1.0
1.0,3017.0,61.0,1.0
1.0,1119.0,136.0,1.0
1.0,2972.0,20.0,1.0
1.0,4719.0,1216.0,1.0
1.0,552.0,38.0,1.0
1.0,3118.0,109.0,1.0
1.0,4073.0,743.0,1.0
1.0,3483.0,837.0,1.0
1.0,3167.0,394.0,1.0
1.0,2960.0,2.0,1.0
1.0,4381.0,706.0,1.0
1.0,3634.0,295.0,1.0
1.0,2977.0,4.0,1.0
1.0,3037.0,76.0,1.0
1.0,3061.0,67.0,1.0
1.0,879.0,155.0,1.0
1.0,954.0,207.0,1.0
1.0,3238.0,212.0,1.0
1.0,816.0,291.0,1.0
1.0,3591.0,120.0,1.0
1.0,3296.0,130.0,1.0
1.0,3031.0,70.0,1.0
1.0,2980.0,7.0,1.0
1.0,709.0,189.0,1.0
1.0,2965.0,6.0,1.0
1.0,3047.0,137.0,1.0
1.0,1114.0,98.0,1.0
1.0,1192.0,200.0,1.0
1.0,125.0,19.0,1.0
1.0,3206.0,291.0,1.0
1.0,4785.0,698.0,1.0
1.0,2972.0,3.0,1.0
1.0,3482.0,96.0,1.0
1.0,2961.0,2.0,1.0
1.0,2993.0,28.0,1.0
1.0,4073.0,743.0,1.0
1.0,3049.0,129.0,1.0
1.0,647.0,89.0,1.0
1.0,3000.0,20.0,1.0
1.0,3695.0,672.0,1.0
1.0,1114.0,132.0,1.0
1.0,2973.0,12.0,1.0
1.0,2976.0,7.0,1.0
1.0,3731.0,305.0,1.0
1.0,1483.0,312.0,1.0
1.0,231.0,115.0,1.0
1.0,3109.0,110.0,1.0
1.0,2159.0,484.0,1.0
1.0,3328.0,209.0,1.0
1.0,3589.0,336.0,1.0
1.0,3204.0,265.0,1.0
1.0,533.0,5.0,1.0
1.0,712.0,309.0,1.0
1.0,3482.0,96.0,1.0
1.0,3186.0,96.0,1.0
1.0,531.0,5.0,1.0
1.0,4073.0,743.0,1.0
1.0,3241.0,211.0,1.0
1.0,466.0,378.0,1.0
1.0,1386.0,288.0,1.0
1.0,540.0,12.0,1.0
1.0,3170.0,192.0,1.0
1.0,3097.0,95.0,1.0
1.0,669.0,44.0,1.0
1.0,3154.0,105.0,1.0
1.0,1080.0,734.0,1.0
1.0,2989.0,4.0,1.0
1.0,3492.0,350.0,1.0
1.0,584.0,43.0,1.0
1.0,621.0,72.0,1.0
1.0,3625.0,447.0,1.0
1.0,4073.0,743.0,1.0
1.0,3406.0,391.0,1.0
1.0,649.0,72.0,1.0
1.0,1261.0,597.0,1.0
1.0,3269.0,178.0,1.0
1.0,526.0,5.0,1.0
1.0,3208.0,135.0,1.0
1.0,3320.0,286.0,1.0
1.0,525.0,1.0,1.0
1.0,2971.0,10.0,1.0
1.0,3943.0,445.0,1.0
1.0,4044.0,392.0,1.0
1.0,686.0,128.0,1.0
1.0,583.0,38.0,1.0
1.0,3096.0,17.0,1.0
1.0,4073.0,743.0,1.0
1.0,3453.0,431.0,1.0
1.0,3172.0,345.0,1.0
1.0,3133.0,245.0,1.0
1.0,3482.0,96.0,1.0
1.0,4381.0,706.0,1.0
1.0,299.0,198.0,1.0
1.0,3731.0,718.0,1.0
1.0,3086.0,56.0,1.0
1.0,3034.0,56.0,1.0
1.0,395.0,270.0,1.0
1.0,3145.0,103.0,1.0
1.0,524.0,2.0,1.0
1.0,3482.0,96.0,1.0
1.0,3368.0,205.0,1.0
1.0,2961.0,2.0,1.0
1.0,815.0,342.0,1.0
1.0,3033.0,55.0,1.0
1.0,857.0,315.0,1.0
1.0,3135.0,56.0,1.0
1.0,3459.0,305.0,1.0
1.0,2999.0,47.0,1.0
1.0,2962.0,2.0,1.0
1.0,3580.0,126.0,1.0
1.0,3156.0,134.0,1.0
1.0,860.0,128.0,1.0
1.0,6343.0,211.0,1.0
1.0,2966.0,2.0,1.0
1.0,598.0,34.0,1.0
1.0,983.0,332.0,1.0
1.0,2977.0,6.0,1.0
1.0,778.0,309.0,1.0
1.0,2981.0,9.0,1.0
1.0,3110.0,124.0,1.0
1.0,903.0,150.0,1.0
1.0,3028.0,9.0,1.0
1.0,3809.0,564.0,1.0
1.0,3858.0,503.0,1.0
1.0,3603.0,152.0,1.0
1.0,3318.0,231.0,1.0
1.0,203.0,309.0,1.0
1.0,3241.0,391.0,1.0
1.0,3420.0,209.0,1.0
1.0,3609.0,234.0,1.0
1.0,661.0,27.0,1.0
1.0,2998.0,7.0,1.0
1.0,3223.0,382.0,1.0
1.0,662.0,64.0,1.0
1.0,526.0,2.0,1.0
1.0,578.0,4.0,1.0
1.0,3095.0,67.0,1.0
1.0,3482.0,96.0,1.0
1.0,3895.0,437.0,1.0
1.0,1050.0,94.0,1.0
1.0,3024.0,41.0,1.0
1.0,2972.0,45.0,1.0
1.0,697.0,334.0,1.0
1.0,3505.0,121.0,1.0
1.0,106.0,0.0,1.0
1.0,2967.0,2.0,1.0
1.0,4073.0,743.0,1.0
1.0,796.0,307.0,1.0
1.0,3173.0,129.0,1.0
1.0,2976.0,8.0,1.0
1.0,3215.0,286.0,1.0
1.0,658.0,159.0,1.0
1.0,218.0,241.0,1.0
1.0,3218.0,153.0,1.0
1.0,3365.0,295.0,1.0
1.0,3096.0,198.0,1.0
1.0,647.0,111.0,1.0
1.0,3217.0,302.0,1.0
1.0,3045.0,73.0,1.0
1.0,854.0,231.0,1.0
1.0,1097.0,472.0,1.0
1.0,4036.0,411.0,1.0
1.0,3618.0,111.0,1.0
1.0,3372.0,770.0,1.0
1.0,1045.0,94.0,1.0
1.0,2980.0,6.0,1.0
1.0,1338.0,302.0,1.0
1.0,4073.0,743.0,1.0
1.0,1125.0,226.0,1.0
1.0,3070.0,262.0,1.0
1.0,1114.0,132.0,1.0
1.0,845.0,130.0,1.0
1.0,720.0,237.0,1.0
1.0,3115.0,127.0,1.0
1.0,3196.0,42.0,1.0
1.0,3017.0,41.0,1.0
1.0,3146.0,66.0,1.0
1.0,3656.0,196.0,1.0
1.0,555.0,0.0,1.0
1.0,3026.0,88.0,1.0
1.0,3454.0,402.0,1.0
1.0,4273.0,599.0,1.0
1.0,3254.0,190.0,1.0
1.0,3255.0,33.0,1.0
1.0,3340.0,183.0,1.0
1.0,982.0,221.0,1.0
1.0,3026.0,41.0,1.0
1.0,3640.0,153.0,1.0
1.0,554.0,0.0,1.0
1.0,3904.0,566.0,1.0
1.0,557.0,5.0,1.0
1.0,3056.0,134.0,1.0
1.0,3345.0,248.0,1.0
1.0,2986.0,6.0,1.0
1.0,711.0,154.0,1.0
1.0,1060.0,271.0,1.0
1.0,4381.0,706.0,1.0
1.0,3014.0,7.0,1.0
1.0,1097.0,104.0,1.0
1.0,3169.0,55.0,1.0
1.0,4073.0,743.0,1.0
1.0,586.0,21.0,1.0
1.0,3056.0,25.0,1.0
1.0,3610.0,506.0,1.0
1.0,974.0,87.0,1.0
1.0,133.0,20.0,1.0
1.0,162.0,28.0,1.0
1.0,3228.0,77.0,1.0
1.0,3414.0,520.0,1.0
1.0,1619.0,598.0,1.0
1.0,3037.0,30.0,1.0
1.0,2991.0,31.0,1.0
1.0,3414.0,239.0,1.0
1.0,3405.0,342.0,1.0
1.0,3530.0,141.0,1.0
1.0,3515.0,121.0,1.0
1.0,3446.0,390.0,1.0
1.0,3499.0,509.0,1.0
1.0,2962.0,3.0,1.0
1.0,552.0,0.0,1.0
1.0,3231.0,156.0,1.0
1.0,4073.0,743.0,1.0
1.0,3183.0,118.0,1.0
1.0,2983.0,26.0,1.0
1.0,3901.0,647.0,1.0
1.0,3484.0,346.0,1.0
1.0,567.0,28.0,1.0
1.0,3102.0,121.0,1.0
1.0,3224.0,231.0,1.0
1.0,3140.0,59.0,1.0
1.0,3203.0,222.0,1.0
1.0,622.0,52.0,1.0
1.0,4719.0,1216.0,1.0
1.0,3054.0,55.0,1.0
1.0,3838.0,251.0,1.0
1.0,3031.0,19.0,1.0
1.0,3630.0,631.0,1.0
1.0,3452.0,486.0,1.0
1.0,155.0,81.0,1.0
1.0,3220.0,260.0,1.0
1.0,1249.0,935.0,1.0
1.0,692.0,124.0,1.0
1.0,3482.0,96.0,1.0
1.0,593.0,22.0,1.0
1.0,586.0,83.0,1.0
1.0,2961.0,3.0,1.0
1.0,6875.0,430.0,1.0
1.0,678.0,165.0,1.0
1.0,3943.0,445.0,1.0
1.0,2961.0,4.0,1.0
1.0,4073.0,743.0,1.0
1.0,3327.0,342.0,1.0
1.0,3735.0,332.0,1.0
1.0,3147.0,117.0,1.0
1.0,3682.0,387.0,1.0
1.0,677.0,83.0,1.0
1.0,3051.0,145.0,1.0
1.0,645.0,279.0,1.0
1.0,1181.0,24.0,1.0
1.0,3002.0,41.0,1.0
1.0,3260.0,33.0,1.0
1.0,4073.0,743.0,1.0
1.0,3332.0,372.0,1.0
1.0,3067.0,94.0,1.0
1.0,883.0,339.0,1.0
1.0,3329.0,172.0,1.0
1.0,951.0,410.0,1.0
1.0,2220.0,9.0,1.0
1.0,2978.0,18.0,1.0
1.0,4785.0,698.0,1.0
1.0,3212.0,294.0,1.0
1.0,770.0,199.0,1.0
1.0,526.0,1.0,1.0
1.0,605.0,478.0,1.0
1.0,2998.0,28.0,1.0
1.0,560.0,8.0,1.0
1.0,3051.0,138.0,1.0
1.0,640.0,92.0,1.0
1.0,554.0,0.0,1.0
1.0,838.0,294.0,1.0
1.0,4073.0,743.0,1.0
1.0,2994.0,70.0,1.0
1.0,2990.0,27.0,1.0
1.0,563.0,7.0,1.0
1.0,3138.0,191.0,1.0
1.0,1458.0,366.0,1.0
1.0,560.0,4.0,1.0
1.0,3008.0,50.0,1.0
1.0,3633.0,678.0,1.0
1.0,1086.0,113.0,1.0
1.0,3515.0,138.0,1.0
1.0,489.0,831.0,1.0
1.0,3491.0,396.0,1.0
1.0,4096.0,622.0,1.0
1.0,2977.0,17.0,1.0
1.0,3248.0,94.0,1.0
1.0,2982.0,5.0,1.0
1.0,3193.0,436.0,1.0
1.0,910.0,269.0,1.0
1.0,3082.0,173.0,1.0
1.0,3140.0,131.0,1.0
1.0,1086.0,396.0,1.0
1.0,9033.0,267.0,1.0
1.0,3537.0,142.0,1.0
1.0,623.0,208.0,1.0
1.0,3124.0,79.0,1.0
1.0,4073.0,743.0,1.0
1.0,3001.0,20.0,1.0
1.0,3571.0,302.0,1.0
1.0,3009.0,33.0,1.0
1.0,3127.0,147.0,1.0
1.0,574.0,38.0,1.0
1.0,568.0,47.0,1.0
1.0,3180.0,175.0,1.0
1.0,3055.0,64.0,1.0
1.0,3005.0,12.0,1.0
1.0,633.0,73.0,1.0
1.0,1181.0,285.0,1.0
1.0,3565.0,220.0,1.0
1.0,559.0,5.0,1.0
1.0,3945.0,413.0,1.0
1.0,695.0,164.0,1.0
1.0,3565.0,589.0,1.0
1.0,3049.0,100.0,1.0
1.0,731.0,87.0,1.0
1.0,3030.0,23.0,1.0
1.0,4785.0,698.0,1.0
1.0,3428.0,491.0,1.0
1.0,6091.0,45.0,1.0
1.0,1047.0,240.0,1.0
1.0,9471.0,147.0,1.0
1.0,3026.0,67.0,1.0
1.0,3402.0,353.0,1.0
1.0,522.0,94.0,1.0
1.0,949.0,410.0,1.0
1.0,2996.0,8.0,1.0
1.0,4073.0,743.0,1.0
1.0,3033.0,61.0,1.0
1.0,3026.0,55.0,1.0
1.0,9965.0,799.0,1.0
1.0,3570.0,235.0,1.0
1.0,1412.0,234.0,1.0
1.0,3008.0,50.0,1.0
1.0,3255.0,144.0,1.0
1.0,3016.0,92.0,1.0
1.0,560.0,4.0,1.0
1.0,3319.0,184.0,1.0
1.0,524.0,1.0,1.0
1.0,761.0,237.0,1.0
1.0,3482.0,96.0,1.0
1.0,3900.0,591.0,1.0
1.0,3301.0,132.0,1.0
1.0,857.0,303.0,1.0
1.0,888.0,128.0,1.0
1.0,2982.0,29.0,1.0
1.0,3100.0,112.0,1.0
1.0,862.0,140.0,1.0
1.0,577.0,5.0,1.0
1.0,3315.0,232.0,1.0
1.0,3058.0,81.0,1.0
1.0,1286.0,480.0,1.0
1.0,5923.0,17.0,1.0
1.0,3045.0,90.0,1.0
1.0,6241.0,336.0,1.0
1.0,3364.0,338.0,1.0
1.0,4381.0,706.0,1.0
1.0,3943.0,445.0,1.0
1.0,3323.0,232.0,1.0
1.0,4073.0,743.0,1.0
1.0,442.0,440.0,1.0
1.0,1310.0,685.0,1.0
1.0,663.0,154.0,1.0
1.0,3243.0,126.0,1.0
1.0,3097.0,95.0,1.0
1.0,3011.0,25.0,1.0
1.0,3096.0,17.0,1.0
1.0,7225.0,355.0,1.0
1.0,3180.0,37.0,1.0
1.0,880.0,233.0,1.0
1.0,2983.0,15.0,1.0
1.0,2980.0,11.0,1.0
1.0,2976.0,25.0,1.0
1.0,1374.0,526.0,1.0
1.0,650.0,163.0,1.0
1.0,941.0,207.0,1.0
1.0,3100.0,266.0,1.0
1.0,1222.0,414.0,1.0
1.0,3735.0,420.0,1.0
1.0,1542.0,340.0,1.0
1.0,3411.0,252.0,1.0
1.0,3058.0,83.0,1.0
1.0,3014.0,7.0,1.0
1.0,3365.0,346.0,1.0
1.0,3307.0,134.0,1.0
1.0,2971.0,13.0,1.0
1.0,3053.0,91.0,1.0
1.0,3240.0,219.0,1.0
1.0,3338.0,372.0,1.0
1.0,9424.0,610.0,1.0
1.0,3859.0,232.0,1.0
1.0,4073.0,743.0,1.0
1.0,2962.0,2.0,1.0
1.0,3368.0,402.0,1.0
1.0,3759.0,390.0,1.0
1.0,2973.0,17.0,1.0
1.0,3485.0,514.0,1.0
1.0,3210.0,240.0,1.0
1.0,2961.0,2.0,1.0
1.0,2989.0,26.0,1.0
1.0,3889.0,769.0,1.0
1.0,533.0,429.0,1.0
1.0,857.0,268.0,1.0
1.0,4073.0,743.0,1.0
1.0,790.0,236.0,1.0
1.0,2978.0,3.0,1.0
1.0,207.0,125.0,1.0
1.0,3248.0,237.0,1.0
1.0,805.0,289.0,1.0
1.0,906.0,231.0,1.0
1.0,3209.0,494.0,1.0
1.0,3455.0,569.0,1.0
1.0,541.0,9.0,1.0
1.0,3074.0,141.0,1.0
1.0,3906.0,376.0,1.0
1.0,2964.0,8.0,1.0
1.0,1045.0,94.0,1.0
1.0,697.0,34.0,1.0
1.0,823.0,176.0,1.0
1.0,3151.0,85.0,1.0
1.0,3037.0,37.0,1.0
1.0,4381.0,706.0,1.0
1.0,3149.0,237.0,1.0
1.0,3547.0,193.0,1.0
1.0,2980.0,11.0,1.0
1.0,2978.0,32.0,1.0
1.0,3034.0,97.0,1.0
1.0,3109.0,143.0,1.0
1.0,4073.0,743.0,1.0
1.0,3451.0,172.0,1.0
1.0,585.0,37.0,1.0
1.0,3075.0,64.0,1.0
1.0,754.0,220.0,1.0
1.0,3098.0,237.0,1.0
1.0,2983.0,26.0,1.0
1.0,2986.0,2.0,1.0
1.0,3500.0,592.0,1.0
1.0,722.0,160.0,1.0
1.0,717.0,235.0,1.0
1.0,3092.0,214.0,1.0
1.0,3617.0,685.0,1.0
1.0,3884.0,439.0,1.0
1.0,3491.0,111.0,1.0
1.0,3277.0,211.0,1.0
1.0,633.0,98.0,1.0
1.0,2981.0,21.0,1.0
1.0,3518.0,127.0,1.0
1.0,3837.0,206.0,1.0
1.0,4073.0,743.0,1.0
1.0,2975.0,4.0,1.0
1.0,4111.0,545.0,1.0
1.0,3301.0,233.0,1.0
1.0,439.0,322.0,1.0
1.0,3002.0,29.0,1.0
1.0,3108.0,38.0,1.0
1.0,6028.0,183.0,1.0
1.0,563.0,25.0,1.0
